Algorithm: FastMap
Target dimensions: 3
Pivots per dimension:
Dim 1: 286 508
Dim 2: 532 871
Dim 3: 506 781
Object coordinates:
0: 154.661688 115.165704 97.418464
1: 115.292788 66.493479 94.455205
2: 81.360348 159.449317 71.791554
3: 72.301824 118.390676 77.825014
4: 72.595781 71.367725 72.441678
5: 93.167731 61.487621 82.919419
6: 100.907953 111.891171 79.892903
7: 86.414282 79.017101 68.787290
8: 79.612885 101.421207 103.624534
9: 73.322662 60.716789 69.751456
10: 55.757925 36.990215 108.112202
11: 81.093301 42.121983 106.891388
12: 137.985063 86.072116 83.021449
13: 94.746750 121.718875 63.759279
14: 119.491192 88.804991 39.219683
15: 101.283808 47.856159 51.824707
16: 53.519413 32.435855 104.192805
17: 112.207184 53.134731 53.904604
18: 119.500029 36.735184 84.754604
19: 84.764310 77.772653 10.607213
20: 84.169185 38.188026 82.255155
21: 39.960120 50.000210 107.323310
22: 127.265108 105.278640 55.496581
23: 129.505730 35.486994 116.356261
24: 97.858381 72.677058 47.521647
25: 131.028392 123.774321 85.263636
26: 70.725399 90.626880 101.353841
27: 83.018101 79.431343 112.304665
28: 93.616534 102.026942 61.716545
29: 101.823917 98.479222 110.562637
30: 45.076511 103.343644 109.605632
31: 64.799059 91.734473 119.752717
32: 81.443358 96.401255 124.656183
33: 55.570582 109.004685 101.531126
34: 76.029504 142.195250 78.324591
35: 98.851967 59.100243 101.530708
36: 112.719698 70.522312 55.525006
37: 134.823147 134.767961 83.373343
38: 148.311174 102.596732 67.767480
39: 62.154475 83.338785 64.216492
40: 100.456984 104.326476 88.033477
41: 68.269213 68.513994 99.140852
42: 50.690194 101.558364 62.166859
43: 63.087714 133.694286 66.395828
44: 150.581899 109.149999 60.284063
45: 142.291106 132.058054 89.465471
46: 133.901169 71.821857 42.994432
47: 55.156328 123.508578 103.404057
48: 94.673974 58.219354 99.620333
49: 29.299544 69.028713 59.308751
50: 31.914367 58.322539 51.553364
51: 143.183010 126.087571 63.271967
52: 139.152594 46.137685 78.162727
53: 103.623147 110.361582 124.991992
54: 160.220895 89.347194 83.365088
55: 87.323717 124.959790 92.873173
56: 68.489937 72.731691 113.472733
