Total triangles: 97
Triangles found:
(17, 13038, 29365)
(99, 134, 32398)
(105, 157, 17132)
(118, 4570, 13927)
(199, 8524, 18587)
(242, 13312, 25198)
(248, 253, 6365)
(610, 3448, 16097)
(713, 950, 1882)
(800, 5755, 9911)
(871, 1787, 27877)
(881, 20107, 25842)
(1386, 8420, 20015)
(1444, 3829, 26280)
(1542, 9731, 16206)
(1883, 2959, 21751)
(2099, 3592, 25997)
(2189, 14238, 21153)
(2296, 25678, 28910)
(2325, 5816, 30342)
(2338, 7269, 30848)
(2350, 13803, 29648)
(2404, 7885, 32699)
(2426, 16086, 28750)
(2657, 19570, 29694)
(3092, 4852, 23320)
(3092, 28387, 29272)
(3107, 14838, 25375)
(3200, 13292, 13517)
(3457, 16957, 19520)
(3467, 4787, 11287)
(3570, 10590, 18444)
(3807, 25169, 28619)
(4165, 12570, 19777)
(4243, 5495, 28652)
(4718, 8510, 10269)
(4741, 25322, 27850)
(4772, 4964, 22562)
(4822, 9113, 17657)
(5302, 14903, 22954)
(5321, 23013, 31150)
(5371, 20040, 24400)
(5458, 10446, 15587)
(5585, 14772, 15529)
(5651, 7106, 19836)
(5689, 7481, 32357)
(5917, 13117, 14675)
(6135, 7461, 31372)
(6241, 10278, 20597)
(6602, 26276, 26502)
(6612, 11972, 28047)
(6738, 17358, 17456)
(6766, 7484, 7937)
(6795, 21052, 21990)
(7102, 9473, 29942)
(7127, 16667, 30771)
(7194, 12029, 18798)
(7624, 22222, 30475)
(7995, 15307, 18132)
(8182, 22987, 26404)
(8699, 11214, 16935)
(8720, 18527, 20583)
(8958, 13165, 17935)
(9047, 13989, 17688)
(9281, 19275, 25022)
(9470, 16738, 22999)
(9599, 24690, 25918)
(9746, 10919, 28677)
(9768, 22080, 32526)
(9805, 28523, 32024)
(9824, 13234, 19988)
(10405, 13861, 18806)
(10742, 12025, 28181)
(10894, 21061, 25368)
(10974, 12965, 19578)
(11144, 18504, 29452)
(11249, 24326, 25663)
(11253, 29353, 30821)
(11958, 12095, 13025)
(12814, 18364, 21466)
(12925, 22316, 26766)
(12967, 26704, 30293)
(13055, 21703, 22896)
(13880, 19869, 20239)
(14262, 21292, 24768)
(14331, 18028, 19727)
(15352, 18752, 31691)
(15684, 20685, 26148)
(15983, 23070, 28915)
(16055, 23759, 29446)
(16437, 21066, 21225)
(16988, 18367, 24774)
(17056, 20991, 24646)
(17738, 26868, 29722)
(18358, 23231, 25395)
(19645, 27839, 31390)
(21299, 24424, 26246)
