Algorithm: Betweenness Centrality
Vertex Centrality
0 177.98
1 109.77
2 278.63
3 137.36
4 65.47
5 87.88
6 78.87
7 131.99
8 45.50
9 106.42
10 111.46
11 51.79
12 112.70
13 197.86
14 159.07
15 70.26
16 108.25
17 111.38
18 305.03
19 31.91
20 36.05
21 151.31
22 158.31
23 155.74
24 233.97
25 81.84
26 26.20
27 143.01
28 129.89
29 55.21
30 41.32
31 54.62
32 76.58
33 84.47
34 129.56
35 89.32
36 16.67
37 50.49
38 46.24
39 42.02
40 23.85
41 62.91
42 20.42
43 68.90
44 66.85
45 101.34
46 57.43
47 16.56
48 55.32
49 93.05
50 111.26
51 37.45
52 18.31
53 59.21
54 14.12
55 353.12
56 39.36
57 200.81
58 294.81
59 65.41
60 58.02
61 148.45
62 50.18
63 5.30
64 30.05
65 7.39
66 59.38
67 21.75
68 76.25
69 67.18
70 132.87
71 25.22
72 88.64
73 52.16
74 155.44
75 21.88
76 40.52
77 98.54
78 5.47
79 11.42
80 37.29
81 90.14
82 48.21
83 33.00
84 12.98
85 98.95
86 206.99
87 177.43
88 99.63
89 93.49
90 6.73
91 95.79
92 88.52
93 82.84
94 16.98
95 89.14
96 100.45
97 36.37
98 45.21
99 37.83
