Total triangles: 494
Triangles found:
(0, 2, 11206)
(3, 128, 18097)
(5, 10, 26271)
(30, 11352, 24413)
(43, 11153, 26437)
(50, 1245, 15248)
(69, 522, 22662)
(101, 24888, 30032)
(119, 12354, 22876)
(120, 338, 25222)
(153, 626, 12878)
(178, 3125, 21902)
(183, 2928, 20384)
(213, 9077, 17271)
(229, 13751, 14217)
(264, 18688, 20430)
(270, 3494, 27701)
(273, 634, 29396)
(292, 3898, 30603)
(295, 17022, 32648)
(297, 6034, 28824)
(308, 6991, 18125)
(316, 4105, 22832)
(323, 4432, 11549)
(386, 5506, 24097)
(389, 14461, 28945)
(392, 24702, 32530)
(424, 5783, 32134)
(426, 4982, 23429)
(427, 448, 11188)
(443, 19402, 22806)
(476, 1834, 29823)
(488, 531, 14832)
(550, 10374, 22424)
(575, 9052, 25063)
(589, 1319, 28803)
(606, 4585, 10449)
(610, 2509, 16163)
(622, 2773, 15250)
(636, 8365, 16011)
(638, 20966, 22063)
(657, 2339, 3994)
(666, 8029, 20351)
(671, 3966, 17939)
(686, 3180, 3306)
(690, 3329, 20810)
(702, 799, 2204)
(702, 15198, 21737)
(722, 2453, 5575)
(779, 1090, 27352)
(781, 2122, 25600)
(788, 2123, 18782)
(829, 7985, 16004)
(842, 6831, 14454)
(869, 8674, 10681)
(885, 21515, 32740)
(910, 22489, 31665)
(912, 20203, 27061)
(943, 18262, 20140)
(954, 14793, 25204)
(956, 2329, 14517)
(959, 25660, 28569)
(982, 1436, 18966)
(983, 2667, 11969)
(997, 11213, 28795)
(1000, 2010, 31729)
(1011, 3169, 16880)
(1039, 1774, 11260)
(1054, 10912, 17560)
(1069, 7638, 30080)
(1074, 2878, 26397)
(1101, 2797, 24601)
(1116, 1698, 2061)
(1131, 3291, 16594)
(1131, 5104, 28081)
(1172, 4259, 21831)
(1201, 14601, 17792)
(1232, 18377, 20841)
(1237, 4052, 23668)
(1248, 9035, 29345)
(1259, 2682, 3818)
(1263, 8277, 13337)
(1274, 6939, 32513)
(1278, 1694, 9728)
(1278, 11172, 20309)
(1294, 4450, 9419)
(1320, 9600, 30229)
(1323, 10800, 20296)
(1365, 2276, 11327)
(1387, 12263, 23886)
(1404, 6648, 27854)
(1419, 12868, 16473)
(1438, 28278, 32276)
(1452, 10707, 11536)
(1474, 2050, 10016)
(1483, 3382, 18918)
(1497, 12755, 29925)
(1531, 21703, 29199)
(1547, 5058, 30275)
(1548, 3875, 17538)
(1556, 7789, 10533)
(1593, 6995, 31823)
(1655, 5316, 18184)
(1664, 5439, 13613)
(1699, 2846, 31291)
(1771, 12379, 26898)
(1786, 23493, 25260)
(1795, 2753, 14423)
(1801, 12039, 25125)
(1845, 1915, 20944)
(1941, 4999, 26567)
(1969, 9405, 23794)
(1981, 7486, 11033)
(1989, 7339, 24777)
(2013, 5845, 11134)
(2029, 18076, 27760)
(2048, 2498, 4528)
(2051, 13725, 29946)
(2095, 3410, 14083)
(2107, 6050, 32506)
(2110, 12909, 14233)
(2123, 2653, 18782)
(2141, 8707, 22063)
(2154, 13067, 30530)
(2186, 4746, 7670)
(2192, 25749, 28257)
(2198, 5034, 16582)
(2222, 13418, 13918)
(2228, 21283, 26709)
(2252, 12136, 15908)
(2259, 21916, 24184)
(2264, 8828, 28395)
(2295, 3190, 17332)
(2310, 20805, 23957)
(2356, 13093, 25713)
(2361, 6294, 23658)
(2396, 9721, 9945)
(2433, 6082, 7887)
(2502, 19471, 29294)
(2507, 2972, 15319)
(2535, 3605, 11539)
(2651, 9079, 16723)
(2692, 3515, 19384)
(2698, 8187, 9842)
(2803, 2856, 30841)
(2805, 8231, 30687)
(2808, 31468, 31927)
(2828, 18524, 26354)
(2892, 10185, 32487)
(2935, 8941, 12299)
(2955, 9493, 28122)
(2977, 6419, 21353)
(2983, 24244, 24433)
(2990, 14285, 28812)
(3034, 20149, 31546)
(3055, 14319, 32221)
(3056, 13025, 24822)
(3079, 5969, 14862)
(3090, 6911, 27619)
(3130, 13908, 22040)
(3136, 10907, 24832)
(3156, 7237, 19775)
(3171, 22059, 26732)
(3227, 10362, 11631)
(3271, 16807, 31834)
(3283, 5751, 26619)
(3316, 16217, 20812)
(3345, 3949, 24956)
(3375, 12434, 20793)
(3379, 6778, 23886)
(3403, 14955, 26196)
(3417, 18756, 28215)
(3462, 9433, 11240)
